Gene,RF_Importance
METTL22,0.0012621150923561562
ELF2,0.0012591185560802748
ZNF844,0.0012561320611117598
RUFY3,0.0012522527987072196
TSC2,0.0012507573314601234
FGFR1,0.0012422680106196338
OSBPL11,0.0012379096512001038
ZNF610,0.0012373792194669577
ZNF821,0.001232787072600133
PRRC2B,0.0012290284728059167
TTLL7,0.0012241021938238083
SLC35E2B,0.0012227130211550307
IL1A,0.001214107481165045
INPP4B,0.001213454442607156
ZNF75A,0.0012085653097670926
PRUNE1,0.0012072322395303538
UBQLN2,0.0012071289430997515
ZNF829,0.0012070580617111785
PIK3R3,0.0012060694904203592
NFYB,0.0011990876044066779
IPO13,0.0011978820194748746
C5orf34,0.0011966261449483805
RNF187,0.0011922002981044713
RTF1,0.0011803747928407818
CBX1,0.0011799361797240281
STXBP4,0.001176234241704334
AREG,0.001174863985793869
ATP6V1G2,0.0011736809383314146
TXNDC16,0.0011735670439161202
NCOA1,0.001170974627927718
THAP9,0.0011637443178573324
ZNF181,0.0011582400068575797
MAGED4B,0.0011574991719734513
NBPF1,0.0011571779511737983
HS3ST1,0.0011521967502479066
PIP4K2B,0.0011493531089716792
SPRR2D,0.0011491180326589257
ASH1L,0.0011463471712574002
PPOX,0.0011452636300394012
ZNF483,0.0011384938929962524
MLLT11,0.0011336417362583125
NIPAL1,0.0011321261170234014
TNRC6C,0.0011304342153497088
GSTA4,0.0011251813311598012
ANKRD52,0.0011230744441115277
PYGO2,0.0011199174102849078
IRAK1BP1,0.0011160703499446438
ZNF382,0.0011084011239779277
PIP5K1A,0.0011006646821465477
DOK6,0.0010996976858597862
ZNF263,0.0010958803705726863
TADA1,0.0010926340891155668
MEX3B,0.0010916587862317747
FOXO6,0.0010850008664618795
GNAZ,0.0010807797149239027
TAB2,0.0010781742525859288
CSTPP1,0.0010772916583254198
EIF4ENIF1,0.0010765277981836887
ZNF17,0.0010755900139944826
MAPT,0.0010728070304732796
RBSN,0.0010721257311677053
POGK,0.0010692734485187596
ZNF793,0.0010669897523746437
ZNF184,0.001066844591102323
ZNF709,0.0010658651180092402
TCF4,0.0010590314955674493
ULK1,0.001057734481927966
ZNF497,0.001057444113404408
MTNAP1,0.0010563684579021869
SRP9,0.0010528716634263817
ASF1A,0.0010498338717866678
BRINP1,0.001047677206722237
KATNAL2,0.0010475156677383268
EPS15L1,0.0010437474206711269
TTC3,0.0010377736931107748
SCML2,0.0010274723998861474
MAZ,0.0010270498632430842
HLTF,0.0010256590611449556
SBK1,0.0010244663372714765
HDAC6,0.0010242265860754126
ZNF764,0.000999931389512349
THAP3,0.0009963924223897465
MRGPRX4,0.0009952177649732354
ZMYM3,0.000990089434696586
ZNF43,0.0009899871200110494
ZNF287,0.0009892875284976176
NBPF12,0.0009887249760943484
DMAP1,0.0009828603853733744
C1QL1,0.0009827423795552956
RNF228,0.0009763283514506562
CBX2,0.0009654070895425609
KRBA2,0.0009652875740472466
MYEOV,0.0009603603639644935
MEAF6,0.0009569103821083296
DCAKD,0.0009543689164499729
SP4,0.0009473959599184542
YPEL1,0.000940643668601291
ZNF417,0.0009399470509386915
VCF2,0.0009358516241101879
FAM156A,0.0009335556368049272
DIXDC1,0.0009283827037715953
SPEG,0.0009268561825181278
ERI3,0.00092632458873455
HSF2,0.0009246512261481199
RAB23,0.0009246243767652467
RPRD2,0.0009241720368132199
ARL14,0.0009220284128548742
DPYSL5,0.0009214819942215968
ZNF669,0.0009204372175102664
RND2,0.0009152059846253091
ZNF470,0.0009129937776768314
CBX5,0.0009113023878984157
SCMH1,0.0009023830340776606
TMEM179,0.0008969546742553933
ZBTB5,0.0008943173410101517
ZFHX2,0.0008918128359456039
RRAGB,0.0008896935063021664
RBM4B,0.0008896824941269929
RC3H2,0.0008892073836664684
APLP1,0.0008866495176262539
APPBP2,0.0008845025429391185
GALNT16,0.0008825888743073108
DCLRE1B,0.0008817726566726515
IQCC,0.0008816545735484595
CCP110,0.0008785281678217741
USP37,0.0008772983627245196
SMIM10L2B,0.0008740211009430428
FTO,0.0008722603522698916
PRR36,0.000869678316534019
ZNF461,0.000858629222116603
WNK3,0.0008582296091304349
DVL3,0.0008573465990976157
MATR3,0.0008550682151802576
ZRANB1,0.0008526238846594296
PKD1,0.0008504916298260448
ZNF724,0.0008488805176515424
CSRNP2,0.0008488489084939835
SRSF12,0.0008456393001412976
EVL,0.0008386664457084506
ZNF570,0.0008351245232623615
GATAD2B,0.0008265254308366604
HIPK1,0.0008205442447815459
MYL6B,0.0008187690383115298
CREBBP,0.000812367039248643
GDF6,0.0008116490653125846
NTN3,0.0008068093234280773
ZYG11B,0.0008056930370080866
CDAN1,0.0007976007113802183
AIRIM,0.0007968358836565943
FIZ1,0.0007965482771680515
TMEFF2,0.0007785038925900343
POGZ,0.000776677266549976
POU6F1,0.0007752142635104111
TRIM37,0.0007705207572695186
ZNF2,0.0007701057122807035
PPP2R5D,0.0007676608105464619
ZNF691,0.0007642015889093933
ZNF236,0.000762643414742024
BCL2L14,0.0007608458973360805
DCLK2,0.0007601805190995955
ZNF517,0.0007570407759236351
ZNF14,0.0007561444506482713
SLC29A4,0.0007534447221658251
ZNF568,0.0007503595401310806
ZNF322,0.0007494343549487025
SEMA6C,0.0007449477558463532
GPR27,0.0007449125385010645
ASAP3,0.0007438320422676645
SALL2,0.0007411919163055225
ZNF491,0.0007373963017791687
MAPK7,0.000736816905131373
CTDSPL2,0.0007347624410572968
CEP97,0.0007344636845115176
ZNF569,0.0007340304242420186
MAP1A,0.0007312171514768468
SETD1A,0.0007247312321106743
PRR3,0.000721364622627995
ZNF580,0.0007136107335982229
TAOK1,0.0007109294373468747
RAB11FIP3,0.0007104259640399314
ZKSCAN2,0.0007002635875426234
ALKBH5,0.0006907556409147857
ZNF776,0.0006907142897041555
GJB4,0.0006890236244580225
TAF11,0.0006834651448273032
MAGED4,0.0006772991961324488
TMBIM1,0.0006770821784227399
ZNF415,0.0006709254717098276
ZFP28,0.0006550490132062744
MSI1,0.0006502854269741008
ZNF711,0.0006482746972578248
FAM171A2,0.0006473449009512986
VAMP2,0.000641760204976119
UBTF,0.0006387113465571118
NAP1L3,0.0006237606314084529
MEX3A,0.0006214089111256029
ZNF471,0.0006183679799289726
RBBP4,0.0006181357535279538
SAMD1,0.0006100938211798495
TUBA1A,0.0006063642517408969
ZNF527,0.0005991063546665943
TRO,0.0005955964618666959
TTC28,0.0005929710738153174
PLEKHO1,0.000590770953281186
ZNF625,0.0005844694476679675
FBXO42,0.0005842033323341361
PCNT,0.0005838984539769221
SPIN1,0.00057775841606338
AGO1,0.0005776653716754155
ZNF567,0.0005711938208851504
KIAA1958,0.0005708391154703921
ZNF420,0.0005684578232171925
NUMBL,0.0005630770236759463
ZNF566,0.0005518134182938187
SLC22A17,0.0005490772841400057
ZNF529,0.0005383387416598505
ADGRB2,0.000534188071453028
KANSL3,0.0005340650902833319
ZNF571,0.0005184476323222752
ZMYM4,0.0005105858979559221
CPN1,0.0005062564899734205
TMEFF1,0.0004860395820907904
TRIM51,0.0004821715162339864
CRMP1,0.0004519965900255572
ZNF445,0.0004311513648004431
MAGEH1,0.0004200306963037233
